tourist_id,spending_inr,duration_days,transport_mode,accommodation_type,group_type,segment
T01239,39034,7,flight,luxury,couple,luxury
T01240,38267,7,flight,luxury,group,luxury
T01241,73148,5,car,luxury,solo,luxury
T01242,12270,2,car,mid,family,weekend
T01243,52705,7,flight,luxury,couple,luxury
T01244,4653,1,bus,budget,group,budget
T01245,4463,1,train,budget,family,budget
T01246,14353,4,train,eco,couple,eco
T01247,4190,3,bus,budget,family,budget
T01248,55806,10,flight,luxury,couple,luxury
T01249,16632,7,bus,eco,group,eco
T01250,3474,1,train,budget,solo,budget
T01251,11440,7,train,eco,solo,eco
T01252,19221,5,train,eco,family,eco
T01253,14334,4,bus,eco,family,eco
T01254,14760,5,train,eco,group,eco
T01255,7317,2,train,budget,group,weekend
T01256,74590,7,car,luxury,family,luxury
T01257,17911,7,bicycle,eco,family,eco
T01258,68483,5,flight,luxury,family,luxury
T01259,73483,7,car,luxury,couple,luxury
T01260,6121,3,train,budget,family,budget
T01261,18639,4,train,eco,couple,eco
T01262,13596,2,car,budget,couple,weekend
T01263,77183,5,flight,luxury,group,luxury
T01264,59439,7,flight,luxury,couple,luxury
T01265,73528,7,flight,luxury,family,luxury
T01266,42809,7,flight,luxury,group,luxury
T01267,46992,10,flight,luxury,family,luxury
T01268,46807,7,car,luxury,solo,luxury
T01269,7852,3,train,budget,family,weekend
T01270,5906,3,train,budget,couple,budget
T01271,57456,10,flight,luxury,family,luxury
T01272,56609,7,flight,luxury,family,luxury
T01273,32637,10,flight,luxury,family,luxury
T01274,14184,5,train,eco,couple,eco
T01275,7685,3,car,mid,couple,weekend
T01276,7269,2,bus,budget,family,budget
T01277,9296,2,train,mid,couple,weekend
T01278,10197,3,train,mid,family,weekend
T01279,10816,2,car,budget,family,weekend
T01280,9882,3,train,budget,couple,weekend
T01281,10713,3,car,budget,couple,weekend
T01282,13258,4,bus,eco,solo,eco
T01283,13078,7,bicycle,eco,couple,eco
T01284,2280,1,train,budget,couple,budget
T01285,73809,14,flight,luxury,solo,luxury
T01286,18112,5,train,eco,family,eco
T01287,2038,1,bus,budget,couple,budget
T01288,38078,5,car,luxury,family,luxury
T01289,6089,1,bus,budget,couple,budget
T01290,32223,7,flight,luxury,couple,luxury
T01291,13783,2,train,mid,couple,weekend
T01292,17908,5,bicycle,eco,family,eco
T01293,7015,2,train,budget,group,budget
T01294,72258,10,flight,luxury,family,luxury
T01295,15443,7,bus,eco,couple,eco
T01296,61232,7,flight,luxury,solo,luxury
T01297,64223,10,flight,luxury,solo,luxury
T01298,46603,14,car,luxury,solo,luxury
T01299,71059,7,flight,luxury,couple,luxury
T01300,7596,3,train,budget,family,weekend
T01301,10743,7,bicycle,eco,family,eco
T01302,8926,2,car,mid,family,weekend
T01303,3426,1,train,budget,couple,budget
T01304,17339,7,bicycle,eco,family,eco
T01305,60307,5,car,luxury,family,luxury
T01306,8079,3,train,mid,couple,weekend
T01307,3032,1,train,budget,group,budget
T01308,6452,2,car,mid,family,weekend
T01309,61156,5,car,luxury,couple,luxury
T01310,12867,5,bus,eco,family,eco
T01311,17083,5,bus,eco,family,eco
T01312,48778,10,flight,luxury,family,luxury
T01313,46308,14,car,luxury,solo,luxury
T01314,19096,4,bus,eco,family,eco
T01315,43915,7,flight,luxury,group,luxury
T01316,36780,5,flight,luxury,couple,luxury
T01317,13326,2,car,mid,solo,weekend
T01318,30077,14,flight,luxury,couple,luxury
T01319,13194,2,train,budget,family,weekend
T01320,10655,7,bus,eco,solo,eco
T01321,74070,10,flight,luxury,group,luxury
T01322,7909,2,train,budget,couple,budget
T01323,13903,4,bicycle,eco,group,eco
T01324,10684,2,car,budget,family,weekend
T01325,13259,2,car,mid,group,weekend
T01326,8925,3,train,budget,family,weekend
T01327,5875,3,car,mid,family,weekend
T01328,50095,10,flight,luxury,family,luxury
T01329,66490,14,flight,luxury,family,luxury
T01330,15659,4,bus,eco,family,eco
T01331,17397,7,train,eco,couple,eco
T01332,2214,3,bus,budget,family,budget
T01333,4927,2,train,budget,group,budget
T01334,19245,7,train,eco,group,eco
T01335,12906,3,train,mid,couple,weekend
T01336,16396,4,train,eco,family,eco
T01337,17810,5,bus,eco,couple,eco
T01338,60459,14,car,luxury,family,luxury
T01339,8184,3,train,mid,family,weekend
T01340,37403,5,flight,luxury,group,luxury
T01341,30420,5,flight,luxury,family,luxury
T01342,6426,2,train,budget,couple,weekend
T01343,18274,7,train,eco,couple,eco
T01344,19161,4,bicycle,eco,couple,eco
T01345,33490,5,car,luxury,couple,luxury
T01346,3722,2,bus,budget,couple,budget
T01347,13475,2,train,mid,couple,weekend
T01348,4067,3,train,budget,couple,budget
T01349,17001,4,bus,eco,couple,eco
T01350,7391,3,train,mid,solo,weekend
T01351,15343,4,train,eco,solo,eco
T01352,6439,3,car,mid,couple,weekend
T01353,75627,7,car,luxury,group,luxury
T01354,9404,7,bus,eco,couple,eco
T01355,12579,2,train,budget,family,weekend
T01356,10488,3,car,budget,family,weekend
T01357,54384,5,flight,luxury,couple,luxury
T01358,58379,7,car,luxury,couple,luxury
T01359,46890,10,flight,luxury,family,luxury
T01360,12623,4,train,eco,couple,eco
T01361,36898,14,flight,luxury,family,luxury
T01362,7493,1,train,budget,family,budget
T01363,12787,2,train,mid,solo,weekend
T01364,76715,5,car,luxury,family,luxury
T01365,11266,2,train,budget,solo,weekend
T01366,7026,3,train,budget,family,weekend
T01367,11082,4,bus,eco,family,eco
T01368,34480,10,flight,luxury,solo,luxury
T01369,11457,4,train,eco,solo,eco
T01370,19008,7,bicycle,eco,family,eco
T01371,11108,7,bus,eco,family,eco
T01372,5243,3,train,budget,group,weekend
T01373,9654,7,bus,eco,couple,eco
T01374,8261,2,train,mid,couple,weekend
T01375,13293,7,train,eco,couple,eco
T01376,4858,2,train,budget,couple,budget
T01377,18487,4,train,eco,solo,eco
T01378,2121,3,bus,budget,group,budget
T01379,14718,7,bicycle,eco,couple,eco
T01380,5845,2,train,budget,couple,budget
T01381,11223,2,car,budget,couple,weekend
T01382,11721,2,train,mid,family,weekend
T01383,60791,10,flight,luxury,group,luxury
T01384,5477,2,train,mid,family,weekend
T01385,35300,14,flight,luxury,group,luxury
T01386,41145,10,flight,luxury,family,luxury
T01387,12903,5,train,eco,couple,eco
T01388,8053,7,bus,eco,solo,eco
T01389,9476,3,car,mid,solo,weekend
T01390,8871,3,train,mid,couple,weekend
T01391,32677,14,flight,luxury,family,luxury
T01392,72318,5,car,luxury,couple,luxury
T01393,19917,5,train,eco,solo,eco
T01394,8455,4,train,eco,couple,eco
T01395,34226,14,flight,luxury,couple,luxury
T01396,11004,2,train,mid,solo,weekend
T01397,9284,4,bicycle,eco,couple,eco
T01398,5212,3,train,budget,couple,weekend
T01399,6354,3,train,mid,solo,weekend
T01400,61274,7,flight,luxury,solo,luxury
T01401,65269,5,flight,luxury,couple,luxury
T01402,12427,2,train,mid,family,weekend
T01403,7001,2,train,budget,family,budget
T01404,12007,4,train,eco,family,eco
T01405,60633,14,flight,luxury,couple,luxury
T01406,11419,5,train,eco,group,eco
T01407,36123,10,car,luxury,couple,luxury
T01408,37179,7,flight,luxury,family,luxury
T01409,13761,2,train,budget,couple,weekend
T01410,4747,2,train,budget,couple,budget
T01411,38169,14,car,luxury,couple,luxury
T01412,7294,2,car,budget,couple,weekend
T01413,13929,5,train,eco,solo,eco
T01414,7144,3,train,budget,family,budget
T01415,9975,2,car,budget,family,weekend
T01416,5951,2,bus,budget,couple,budget
T01417,11031,2,car,mid,family,weekend
T01418,15332,5,train,eco,family,eco
T01419,7767,3,train,budget,couple,budget
T01420,35783,14,flight,luxury,solo,luxury
T01421,37863,7,flight,luxury,group,luxury
T01422,13980,7,bus,eco,family,eco
T01423,14627,2,car,budget,couple,weekend
T01424,14601,2,car,budget,family,weekend
T01425,18993,5,bicycle,eco,family,eco
T01426,17162,4,bus,eco,couple,eco
T01427,60099,14,flight,luxury,solo,luxury
T01428,38053,14,car,luxury,solo,luxury
T01429,12047,4,train,eco,family,eco
T01430,11667,2,car,mid,family,weekend
T01431,4554,1,train,budget,couple,budget
T01432,30372,5,car,luxury,couple,luxury
T01433,18486,5,train,eco,family,eco
T01434,5625,2,train,budget,couple,budget
T01435,10656,7,bus,eco,group,eco
T01436,7111,3,bus,budget,family,budget
T01437,40987,5,car,luxury,couple,luxury
T01438,13182,3,car,mid,family,weekend
T01439,11673,3,car,mid,family,weekend
T01440,7677,3,train,mid,couple,weekend
T01441,8147,2,car,budget,family,weekend
T01442,14022,7,train,eco,couple,eco
T01443,6215,3,train,budget,couple,budget
T01444,6170,2,train,budget,solo,weekend
T01445,8064,2,train,mid,family,weekend
T01446,14771,2,car,budget,solo,weekend
T01447,3371,1,train,budget,family,budget
T01448,6446,1,train,budget,group,budget
T01449,13391,3,train,budget,solo,weekend
T01450,43656,10,flight,luxury,group,luxury
T01451,6944,3,car,mid,group,weekend
T01452,72497,10,flight,luxury,solo,luxury
T01453,64856,10,car,luxury,solo,luxury
T01454,11707,2,train,budget,family,weekend
T01455,5269,3,train,budget,solo,budget
T01456,3408,2,bus,budget,couple,budget
T01457,4812,1,train,budget,solo,budget
T01458,5050,3,bus,budget,couple,budget
T01459,12534,3,train,budget,solo,weekend
T01460,13372,5,bus,eco,couple,eco
T01461,70636,7,flight,luxury,family,luxury
T01462,13732,7,bus,eco,family,eco
T01463,18087,4,train,eco,solo,eco
T01464,64085,10,flight,luxury,group,luxury
T01465,60892,7,flight,luxury,couple,luxury
T01466,7835,3,train,budget,group,budget
T01467,14863,2,train,mid,couple,weekend
T01468,6062,1,train,budget,couple,budget
T01469,7460,1,bus,budget,family,budget
T01470,7490,3,train,mid,solo,weekend
T01471,7127,3,train,budget,couple,budget
T01472,43396,14,car,luxury,couple,luxury
T01473,3976,1,train,budget,family,budget
T01474,11043,2,car,budget,solo,weekend
T01475,14968,4,bicycle,eco,couple,eco
T01476,37378,14,flight,luxury,family,luxury
T01477,10346,3,train,mid,family,weekend
T01478,11905,4,train,eco,group,eco
T01479,56254,7,flight,luxury,group,luxury
T01480,59431,7,flight,luxury,solo,luxury
T01481,7609,2,bus,budget,solo,budget
T01482,13383,5,bicycle,eco,group,eco
T01483,5744,2,bus,budget,family,budget
T01484,18389,5,bicycle,eco,family,eco
T01485,12957,3,train,budget,family,weekend
T01486,47150,14,flight,luxury,couple,luxury
T01487,66075,10,flight,luxury,couple,luxury
T01488,5225,2,car,mid,couple,weekend
T01489,71875,14,flight,luxury,solo,luxury
T01490,32377,14,flight,luxury,couple,luxury
T01491,6123,2,train,budget,group,weekend
T01492,5149,2,car,mid,couple,weekend
T01493,16165,4,bicycle,eco,group,eco
T01494,14036,3,car,budget,couple,weekend
T01495,7041,2,train,budget,group,weekend
T01496,6821,1,bus,budget,couple,budget
T01497,2739,2,bus,budget,couple,budget
T01498,18736,5,bus,eco,solo,eco
T01499,67505,5,flight,luxury,solo,luxury
T01500,12692,5,train,eco,couple,eco
T01501,37524,7,flight,luxury,group,luxury
T01502,12933,5,train,eco,solo,eco
T01503,12687,5,train,eco,family,eco
T01504,7879,1,train,budget,couple,budget
T01505,30577,14,flight,luxury,group,luxury
T01506,5374,1,bus,budget,family,budget
T01507,11770,5,train,eco,couple,eco
T01508,70084,5,car,luxury,family,luxury
T01509,2484,1,train,budget,family,budget
T01510,14947,2,car,mid,group,weekend
T01511,14369,7,train,eco,solo,eco
T01512,34455,7,flight,luxury,solo,luxury
T01513,5168,2,train,budget,group,weekend
T01514,15822,7,train,eco,family,eco
T01515,12917,4,bicycle,eco,family,eco
T01516,37039,7,flight,luxury,family,luxury
T01517,9307,4,train,eco,family,eco
T01518,15049,5,bicycle,eco,couple,eco
T01519,6206,2,car,mid,solo,weekend
T01520,6452,3,car,mid,solo,weekend
T01521,31714,14,flight,luxury,couple,luxury
T01522,8610,2,car,mid,family,weekend
T01523,52752,10,flight,luxury,family,luxury
T01524,76378,5,car,luxury,family,luxury
T01525,2360,2,bus,budget,family,budget
T01526,4752,3,bus,budget,family,budget
T01527,79492,5,flight,luxury,couple,luxury
T01528,4885,2,train,budget,couple,budget
T01529,5018,3,train,budget,couple,budget
T01530,4195,3,train,budget,group,budget
T01531,5591,2,bus,budget,couple,budget
T01532,10723,7,bicycle,eco,group,eco
T01533,10811,2,train,budget,couple,weekend
T01534,10600,7,bicycle,eco,family,eco
T01535,16018,5,train,eco,family,eco
T01536,78626,7,car,luxury,couple,luxury
T01537,15260,4,train,eco,family,eco
T01538,13487,3,train,mid,family,weekend
T01539,11795,7,train,eco,couple,eco
T01540,13552,7,bus,eco,family,eco
T01541,52674,14,car,luxury,solo,luxury
T01542,14155,7,bus,eco,family,eco
T01543,19419,7,bus,eco,group,eco
T01544,12920,3,car,budget,solo,weekend
T01545,13295,7,bicycle,eco,couple,eco
T01546,61471,10,car,luxury,couple,luxury
T01547,6434,3,car,budget,family,weekend
T01548,8992,7,bus,eco,family,eco
T01549,9445,7,bicycle,eco,family,eco
T01550,7100,1,bus,budget,family,budget
T01551,12792,7,train,eco,family,eco
T01552,5292,3,car,budget,couple,weekend
T01553,11464,4,train,eco,family,eco
T01554,14951,4,bus,eco,group,eco
T01555,14245,2,train,budget,family,weekend
T01556,70553,7,flight,luxury,family,luxury
T01557,3386,2,train,budget,group,budget
T01558,11558,2,train,mid,group,weekend
T01559,14659,3,car,budget,solo,weekend
T01560,9228,5,train,eco,family,eco
T01561,2475,3,bus,budget,couple,budget
T01562,9326,7,bicycle,eco,family,eco
T01563,14390,2,train,budget,couple,weekend
T01564,4547,2,bus,budget,group,budget
T01565,11580,2,train,mid,group,weekend
T01566,66014,10,flight,luxury,couple,luxury
T01567,10674,2,car,mid,couple,weekend
T01568,32404,14,flight,luxury,family,luxury
T01569,11780,5,train,eco,group,eco
T01570,9431,4,bicycle,eco,family,eco
T01571,2918,1,train,budget,couple,budget
T01572,2269,3,train,budget,family,budget
T01573,8026,4,bicycle,eco,couple,eco
T01574,12551,3,car,budget,group,weekend
T01575,15796,5,train,eco,couple,eco
T01576,7333,1,train,budget,couple,budget
T01577,6900,3,bus,budget,couple,budget
T01578,3914,2,train,budget,group,budget
T01579,10913,5,bus,eco,family,eco
T01580,72991,7,flight,luxury,family,luxury
T01581,8789,2,car,budget,family,weekend
T01582,17640,5,bus,eco,solo,eco
T01583,33129,5,flight,luxury,family,luxury
T01584,6008,2,car,budget,couple,weekend
T01585,7519,3,train,budget,couple,budget
T01586,7358,2,train,mid,family,weekend
T01587,6515,1,bus,budget,group,budget
T01588,50799,5,car,luxury,family,luxury
T01589,6010,3,train,budget,couple,budget
T01590,3169,2,train,budget,group,budget
T01591,63228,7,flight,luxury,group,luxury
T01592,14896,3,train,budget,family,weekend
T01593,6676,3,bus,budget,family,budget
T01594,4915,2,train,budget,family,budget
T01595,3635,3,train,budget,family,budget
T01596,55347,5,car,luxury,group,luxury
T01597,2356,3,bus,budget,couple,budget
T01598,12760,2,car,mid,family,weekend
T01599,11690,4,bus,eco,family,eco
T01600,17680,7,bicycle,eco,family,eco
T01601,18173,7,bicycle,eco,solo,eco
T01602,7855,2,bus,budget,couple,budget
T01603,10279,3,train,mid,solo,weekend
T01604,14964,2,car,budget,couple,weekend
T01605,11783,2,car,mid,family,weekend
T01606,14485,7,train,eco,couple,eco
T01607,7075,3,train,mid,family,weekend
T01608,2497,2,bus,budget,solo,budget
T01609,17715,4,train,eco,solo,eco
T01610,5870,2,train,budget,couple,weekend
T01611,3724,2,train,budget,couple,budget
T01612,63273,10,flight,luxury,couple,luxury
T01613,34391,5,flight,luxury,couple,luxury
T01614,9555,4,train,eco,couple,eco
T01615,18196,5,train,eco,family,eco
T01616,16502,7,bus,eco,family,eco
T01617,3760,3,train,budget,family,budget
T01618,6109,1,train,budget,group,budget
T01619,11903,2,car,mid,family,weekend
T01620,15201,4,train,eco,family,eco
T01621,56031,5,flight,luxury,family,luxury
T01622,6401,2,car,mid,family,weekend
T01623,12915,3,train,mid,family,weekend
T01624,16304,5,bicycle,eco,family,eco
T01625,12345,3,train,mid,couple,weekend
T01626,12384,5,bus,eco,family,eco
T01627,5210,1,bus,budget,family,budget
T01628,45186,10,car,luxury,couple,luxury
T01629,5533,1,train,budget,couple,budget
T01630,15802,4,bicycle,eco,group,eco
T01631,14649,5,train,eco,family,eco
T01632,16172,5,train,eco,couple,eco
T01633,17843,7,train,eco,group,eco
T01634,8805,5,bicycle,eco,family,eco
T01635,14777,2,car,budget,couple,weekend
T01636,53654,7,flight,luxury,solo,luxury
T01637,17133,4,bus,eco,couple,eco
T01638,77736,14,flight,luxury,group,luxury
T01639,69307,7,flight,luxury,couple,luxury
T01640,35312,7,flight,luxury,family,luxury
T01641,7973,2,car,mid,solo,weekend
T01642,10810,7,train,eco,couple,eco
T01643,6807,3,train,budget,family,weekend
T01644,3070,1,bus,budget,family,budget
T01645,50976,14,flight,luxury,solo,luxury
T01646,19833,7,train,eco,couple,eco
T01647,47419,7,flight,luxury,couple,luxury
T01648,18192,4,bicycle,eco,couple,eco
T01649,6204,3,train,budget,family,budget
T01650,11334,4,train,eco,solo,eco
T01651,37482,14,flight,luxury,couple,luxury
T01652,8592,2,car,budget,group,weekend
T01653,13716,4,train,eco,couple,eco
T01654,5884,3,train,budget,group,budget
T01655,14968,7,bus,eco,group,eco
T01656,6458,3,car,mid,family,weekend
T01657,31215,7,flight,luxury,couple,luxury
T01658,9622,2,train,budget,couple,weekend
T01659,65376,5,flight,luxury,couple,luxury
T01660,4748,3,bus,budget,family,budget
T01661,36754,5,flight,luxury,group,luxury
T01662,3242,2,bus,budget,family,budget
T01663,44089,7,flight,luxury,solo,luxury
T01664,61201,14,flight,luxury,family,luxury
T01665,2406,2,train,budget,couple,budget
T01666,7479,2,train,budget,couple,weekend
T01667,5455,2,train,budget,family,weekend
T01668,5865,2,car,budget,family,weekend
T01669,9367,3,car,mid,family,weekend
T01670,3143,1,train,budget,couple,budget
T01671,3812,2,bus,budget,family,budget
T01672,13040,3,car,budget,family,weekend
T01673,3074,1,train,budget,couple,budget
T01674,5163,3,bus,budget,couple,budget
T01675,6422,3,bus,budget,couple,budget
T01676,45593,14,car,luxury,group,luxury
T01677,3108,2,train,budget,family,budget
T01678,13927,2,car,mid,group,weekend
T01679,8110,5,bus,eco,family,eco
T01680,6047,3,car,mid,solo,weekend
T01681,72375,10,flight,luxury,couple,luxury
T01682,11431,2,train,budget,couple,weekend
T01683,14388,3,car,budget,family,weekend
T01684,13041,4,train,eco,solo,eco
T01685,17728,4,bicycle,eco,solo,eco
T01686,7031,1,train,budget,couple,budget
T01687,2198,2,bus,budget,solo,budget
T01688,53328,10,flight,luxury,group,luxury
T01689,35106,7,flight,luxury,couple,luxury
T01690,10703,2,train,mid,family,weekend
T01691,6979,3,bus,budget,family,budget
T01692,6674,3,car,budget,solo,weekend
T01693,18789,4,train,eco,solo,eco
T01694,2055,1,bus,budget,family,budget
T01695,67084,10,car,luxury,group,luxury
T01696,16025,7,bicycle,eco,family,eco
T01697,70475,7,car,luxury,solo,luxury
T01698,9007,3,train,budget,solo,weekend
T01699,6595,3,train,budget,solo,budget
T01700,15346,4,bus,eco,group,eco
T01701,11291,2,car,mid,family,weekend
T01702,17245,4,bicycle,eco,solo,eco
T01703,5577,3,car,budget,couple,weekend
T01704,14857,2,car,budget,group,weekend
T01705,8152,7,bicycle,eco,couple,eco
T01706,3563,3,bus,budget,family,budget
T01707,4657,2,bus,budget,family,budget
T01708,73683,7,flight,luxury,family,luxury
T01709,3635,2,train,budget,couple,budget
T01710,2397,2,bus,budget,family,budget
T01711,13196,4,train,eco,family,eco
T01712,7200,3,car,mid,group,weekend
T01713,13908,4,train,eco,family,eco
T01714,58352,10,car,luxury,couple,luxury
T01715,14494,4,bicycle,eco,family,eco
T01716,5297,2,train,budget,solo,budget
T01717,72834,5,flight,luxury,couple,luxury
T01718,3572,2,bus,budget,couple,budget
T01719,19767,7,train,eco,solo,eco
T01720,8755,5,train,eco,family,eco
T01721,32380,7,flight,luxury,family,luxury
T01722,6238,2,bus,budget,solo,budget
T01723,8691,4,train,eco,family,eco
T01724,12318,7,bus,eco,family,eco
T01725,45451,5,car,luxury,couple,luxury
T01726,8048,3,car,budget,couple,weekend
T01727,5798,2,bus,budget,family,budget
T01728,42790,10,flight,luxury,couple,luxury
T01729,11935,3,car,budget,group,weekend
T01730,5751,3,train,budget,family,budget
T01731,2910,1,train,budget,couple,budget
T01732,8664,2,car,budget,family,weekend
T01733,9020,7,bus,eco,family,eco
T01734,10830,7,bicycle,eco,family,eco
T01735,58379,10,flight,luxury,solo,luxury
T01736,7822,3,train,budget,family,budget
T01737,3811,3,train,budget,solo,budget
T01738,74243,7,car,luxury,group,luxury
T01739,41280,5,flight,luxury,solo,luxury
T01740,5198,3,car,mid,family,weekend
T01741,67317,5,car,luxury,solo,luxury
T01742,6842,3,bus,budget,couple,budget
T01743,47540,14,flight,luxury,family,luxury
T01744,14264,7,train,eco,family,eco
T01745,7075,3,car,mid,group,weekend
T01746,5785,2,train,budget,family,budget
T01747,15339,5,bus,eco,family,eco
T01748,65227,5,flight,luxury,family,luxury
T01749,79730,10,flight,luxury,couple,luxury
T01750,2870,2,train,budget,solo,budget
T01751,7786,2,bus,budget,family,budget
T01752,14160,2,car,budget,couple,weekend
T01753,11048,2,car,budget,family,weekend
T01754,8415,4,bicycle,eco,couple,eco
T01755,15595,5,train,eco,group,eco
T01756,8663,4,bus,eco,family,eco
T01757,61726,7,flight,luxury,solo,luxury
T01758,4316,2,bus,budget,couple,budget
T01759,3712,1,train,budget,couple,budget
T01760,41707,14,flight,luxury,solo,luxury
T01761,15818,4,train,eco,family,eco
T01762,18045,7,train,eco,couple,eco
T01763,11929,3,car,mid,group,weekend
T01764,14545,4,train,eco,couple,eco
T01765,15547,5,train,eco,family,eco
T01766,6984,3,bus,budget,family,budget
T01767,11356,5,bus,eco,group,eco
T01768,8797,2,car,budget,group,weekend
T01769,7257,3,train,budget,couple,budget
T01770,13129,2,car,mid,couple,weekend
T01771,13642,2,train,budget,group,weekend
T01772,44079,5,flight,luxury,family,luxury
T01773,3848,2,bus,budget,family,budget
T01774,11070,7,train,eco,couple,eco
T01775,13278,7,bus,eco,family,eco
T01776,48185,10,flight,luxury,solo,luxury
T01777,6955,3,car,budget,couple,weekend
T01778,30202,5,flight,luxury,group,luxury
T01779,9896,3,car,mid,couple,weekend
T01780,16204,5,train,eco,family,eco
T01781,39378,14,flight,luxury,family,luxury
T01782,6569,1,train,budget,couple,budget
T01783,6383,3,train,budget,group,budget
T01784,6743,1,train,budget,family,budget
T01785,62008,14,flight,luxury,couple,luxury
T01786,10110,2,car,budget,group,weekend
T01787,11181,3,car,mid,family,weekend
T01788,8058,3,car,mid,family,weekend
T01789,19934,5,train,eco,family,eco
T01790,12100,7,train,eco,family,eco
T01791,32367,7,flight,luxury,family,luxury
T01792,17039,7,bus,eco,group,eco
T01793,10766,4,train,eco,group,eco
T01794,37944,14,car,luxury,couple,luxury
T01795,7868,2,bus,budget,solo,budget
T01796,9681,3,train,budget,family,weekend
T01797,7864,1,train,budget,family,budget
T01798,19243,7,bus,eco,couple,eco
T01799,32272,5,flight,luxury,couple,luxury
T01800,33441,14,flight,luxury,family,luxury
T01801,36788,10,flight,luxury,couple,luxury
T01802,10083,4,bus,eco,family,eco
T01803,6105,3,train,budget,family,budget
T01804,8347,3,car,mid,couple,weekend
T01805,13666,2,car,budget,family,weekend
T01806,4588,2,train,budget,group,budget
T01807,15818,4,bicycle,eco,family,eco
T01808,6379,1,train,budget,couple,budget
T01809,9517,4,train,eco,solo,eco
T01810,6584,2,train,budget,solo,budget
T01811,34217,5,car,luxury,family,luxury
T01812,45933,5,flight,luxury,family,luxury
T01813,74424,7,car,luxury,family,luxury
T01814,12679,4,train,eco,group,eco
T01815,67712,5,flight,luxury,solo,luxury
T01816,8560,2,car,mid,group,weekend
T01817,5454,2,car,budget,solo,weekend
T01818,6672,2,bus,budget,family,budget
T01819,31685,14,car,luxury,group,luxury
T01820,72320,7,flight,luxury,couple,luxury
T01821,16813,5,train,eco,solo,eco
T01822,3720,2,bus,budget,couple,budget
T01823,9586,2,car,mid,couple,weekend
T01824,19601,7,train,eco,family,eco
T01825,3284,1,bus,budget,group,budget
T01826,68281,14,flight,luxury,family,luxury
T01827,11265,5,train,eco,family,eco
T01828,9007,7,bus,eco,solo,eco
T01829,7141,2,train,budget,solo,budget
T01830,4458,2,train,budget,family,budget
T01831,10624,4,train,eco,group,eco
T01832,71205,7,flight,luxury,solo,luxury
T01833,5879,2,car,mid,group,weekend
T01834,2852,1,train,budget,solo,budget
T01835,2666,3,train,budget,group,budget
T01836,2940,1,bus,budget,group,budget
T01837,67580,14,car,luxury,group,luxury
T01838,12594,7,bicycle,eco,group,eco
T01839,4362,2,bus,budget,solo,budget
T01840,10415,2,car,budget,couple,weekend
T01841,36936,10,flight,luxury,family,luxury
T01842,13616,3,car,budget,couple,weekend
T01843,7366,2,bus,budget,couple,budget
T01844,12296,3,train,mid,group,weekend
T01845,7224,2,bus,budget,couple,budget
T01846,11644,2,train,budget,group,weekend
T01847,9636,3,train,mid,family,weekend
T01848,5067,2,bus,budget,couple,budget
T01849,9409,5,train,eco,solo,eco
T01850,57633,5,flight,luxury,couple,luxury
T01851,16358,5,bus,eco,family,eco
T01852,2311,1,train,budget,group,budget
T01853,14587,7,train,eco,couple,eco
T01854,16150,7,bus,eco,couple,eco
T01855,47119,5,flight,luxury,couple,luxury
T01856,19621,4,train,eco,family,eco
T01857,4868,3,train,budget,group,budget
T01858,50918,7,flight,luxury,family,luxury
T01859,60056,5,flight,luxury,couple,luxury
T01860,18865,7,bicycle,eco,family,eco
T01861,2085,3,train,budget,family,budget
T01862,45475,5,flight,luxury,solo,luxury
T01863,53501,10,flight,luxury,couple,luxury
T01864,7940,2,train,budget,group,budget
T01865,7973,1,train,budget,family,budget
T01866,13814,4,train,eco,couple,eco
T01867,4287,2,train,budget,couple,budget
T01868,57640,10,flight,luxury,solo,luxury
T01869,15609,7,train,eco,couple,eco
T01870,64853,14,flight,luxury,group,luxury
T01871,9513,5,bus,eco,couple,eco
T01872,15117,5,bus,eco,family,eco
T01873,5958,1,bus,budget,group,budget
T01874,19611,7,bus,eco,family,eco
T01875,7575,3,train,budget,family,budget
T01876,5356,2,train,budget,couple,budget
T01877,67953,14,flight,luxury,family,luxury
T01878,11413,2,train,mid,group,weekend
T01879,12500,3,train,budget,couple,weekend
T01880,58064,5,car,luxury,family,luxury
T01881,71130,14,flight,luxury,family,luxury
T01882,9939,5,train,eco,family,eco
T01883,12430,2,car,mid,family,weekend
T01884,4793,1,bus,budget,group,budget
T01885,2170,1,train,budget,solo,budget
T01886,3538,3,train,budget,family,budget
T01887,8237,7,bus,eco,couple,eco
T01888,2104,3,train,budget,family,budget
T01889,4988,2,train,budget,couple,budget
T01890,6412,2,car,mid,solo,weekend
T01891,14966,2,car,budget,family,weekend
T01892,5478,3,car,budget,group,weekend
T01893,7582,3,car,mid,solo,weekend
T01894,30932,10,flight,luxury,group,luxury
T01895,77163,10,flight,luxury,family,luxury
T01896,19904,4,train,eco,family,eco
T01897,6731,2,train,budget,family,budget
T01898,8933,3,car,mid,couple,weekend
T01899,63456,14,car,luxury,family,luxury
T01900,64982,14,car,luxury,family,luxury
T01901,7175,3,bus,budget,group,budget
T01902,18174,5,train,eco,family,eco
T01903,8892,4,bicycle,eco,family,eco
T01904,5249,2,train,budget,family,budget
T01905,57218,7,flight,luxury,couple,luxury
T01906,5541,3,train,budget,group,weekend
T01907,13149,7,train,eco,solo,eco
T01908,5460,2,train,budget,family,weekend
T01909,19445,4,bus,eco,family,eco
T01910,9167,3,car,mid,family,weekend
